turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
52,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,44,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,77,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,71,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,-1,-1,-1,-1,54,0,0,5,3
53,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,44,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,77,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,71,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,-1,-1,-1,100,0,0,5,5
54,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,44,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,77,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,71,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,-1,-1,81,0,0,5,3
55,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,28,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,77,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,71,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,-1,-1,56,0,0,5,4
56,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,28,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,71,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,71,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,31,0,0,5,6
57,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,28,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,94,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,71,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,5,4
58,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,28,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,88,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,71,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,3,1
59,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,88,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,71,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,3,5
60,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,88,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,96,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,3
61,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,75,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,96,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,6
62,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,49,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,92,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,3
63,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,10,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,92,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,1
64,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,33,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,92,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,4
65,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,56,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,92,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,4
66,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,31,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,92,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,1
67,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,53,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,92,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,4
68,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,27,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,92,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,1
69,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,52,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,92,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,4
70,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,27,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,80,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,4,3
71,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,71,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,1,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,80,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,3,4
72,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,142,-1,45,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,175,217,194,628,-1,71,540,2,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,524,-1,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,487,-1,-1,-1,0,270,4,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,0,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,767,217,800,90,-1,0,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,147,11,-1,-1,-1,0,270,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,486,488,-1,-1,83,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,856,567,-1,80,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,628,175,194,-1,56,0,0,5,5
